3	6	31	68	107	158	170	182	183
27	36	42	68	158	170	180	182	183
36	68	102	109	112	158	164	182	183
27	36	68	158	164	170	180	183	194
21	30	36	42	68	89	158	183	194
8	27	36	42	68	158	180	183	194
3	29	31	68	112	158	170	183	194
26	30	36	68	158	164	180	183	194
27	30	36	68	112	158	164	183	194
36	68	158	164	170	180	183	194	205
26	30	36	68	112	158	164	183	194
26	36	68	112	158	164	170	182	183
26	30	36	68	158	164	180	182	183
21	24	36	68	107	158	182	183	184
5	21	36	42	68	158	170	182	183
5	7	36	68	158	164	180	183	194
7	36	68	158	164	180	182	183	201
4	21	36	42	68	158	170	182	183
21	27	30	36	42	68	158	183	194
10	30	36	42	68	158	180	182	183
7	9	36	42	68	158	180	183	194
3	4	8	68	112	144	158	183	194
24	36	42	68	107	158	180	183	194
27	30	36	42	68	158	180	182	183
7	36	68	107	143	144	158	182	183
36	42	68	109	112	158	182	183	205
7	36	68	103	107	144	158	183	194
36	68	109	158	180	183	184	194	205
36	68	107	158	170	180	183	184	194
36	68	107	112	120	158	182	183	184
4	36	68	144	158	170	180	182	183
36	68	107	142	158	180	183	184	194
21	31	68	107	144	152	158	183	194
31	68	107	112	120	144	158	182	183
3	10	31	68	158	170	180	183	194
9	36	42	68	112	158	170	183	194
9	21	36	42	68	158	170	182	183
30	31	68	102	112	158	164	183	194
36	68	107	112	142	144	158	183	194
21	36	68	144	146	158	170	182	183
21	36	68	158	164	170	183	194	201
31	68	112	146	158	164	170	183	194
21	26	30	31	68	144	158	182	183
36	68	144	146	158	170	180	182	183
29	36	68	109	144	158	180	182	183
36	68	89	109	158	164	180	183	194
36	68	107	144	158	170	182	183	200
21	29	30	36	42	68	158	182	183
26	30	36	42	68	158	180	183	194
29	36	42	68	158	170	180	183	194
25	31	68	107	109	158	164	183	194
29	36	68	109	112	158	164	182	183
36	42	68	109	112	158	182	183	201
36	68	107	112	144	158	170	182	183
30	36	68	107	115	144	158	182	183
8	10	21	36	68	158	183	184	194
3	30	42	68	107	158	180	182	183
27	30	36	42	68	112	158	183	194
4	7	36	68	158	164	180	183	194
36	68	89	158	170	180	182	183	184
21	30	36	68	89	158	164	182	183
7	31	68	71	107	158	164	182	183
4	21	36	68	158	170	183	184	194
8	29	36	68	112	158	183	184	194
36	68	107	109	137	158	164	182	183
7	36	68	102	112	144	158	182	183
36	68	107	109	143	158	164	182	183
7	36	68	89	112	158	164	182	183
7	21	29	36	68	158	164	183	194
7	36	68	102	112	158	164	183	194
30	36	68	97	107	144	158	183	194
7	27	36	68	158	164	180	182	183
36	68	107	109	143	144	158	183	194
21	36	68	102	144	158	170	182	183
9	36	68	158	164	170	180	183	194
29	36	42	68	158	170	180	182	183
3	5	30	31	68	158	180	183	194
36	68	107	142	144	158	180	182	183
36	68	107	158	164	170	180	182	183
5	36	68	112	158	164	170	183	194
3	30	68	107	125	158	164	182	183
36	68	107	158	164	167	170	182	183
30	36	68	77	107	158	182	183	184
21	30	36	68	146	158	164	182	183
7	36	68	107	108	158	164	182	183
7	36	68	107	125	158	182	183	184
36	68	89	109	112	144	158	182	183
3	8	31	68	89	158	180	182	183
7	9	36	42	68	158	180	182	183
36	68	77	107	158	164	170	182	183
36	68	71	107	158	164	170	182	183
25	36	68	107	144	158	170	182	183
30	36	68	102	112	144	158	183	194
21	36	42	68	102	109	158	183	194
36	42	68	89	109	158	180	183	194
7	21	36	68	102	158	164	182	183
36	68	89	109	158	164	180	182	183
30	36	68	89	112	158	164	182	183
27	36	68	109	158	164	180	182	183
26	36	68	109	158	164	180	182	183
36	68	107	152	158	164	180	182	183
36	68	89	112	158	164	170	183	194
36	68	89	158	164	170	180	183	194
36	68	89	112	158	164	170	182	183
8	36	68	102	158	164	180	183	194
21	36	68	89	158	164	170	183	194
36	42	68	77	107	109	158	183	194
4	36	68	109	144	158	180	183	194
5	36	68	112	158	170	182	183	184
9	31	68	158	170	180	183	194	195
