31	77	112	118	148	156	158	180	183	194	195
8	31	107	118	148	156	158	180	183	194	195
19	31	36	89	107	118	148	158	190	194	195
12	31	41	97	109	118	148	158	190	194	205
8	21	31	97	118	148	156	158	183	194	195
31	41	66	85	104	109	118	148	158	194	205
0	4	19	31	41	112	118	148	158	190	194
6	7	31	97	118	148	156	158	183	194	195
8	31	97	102	118	148	156	158	183	194	195
24	31	72	102	118	148	158	174	190	194	195
19	30	31	35	89	115	118	148	158	194	195
21	31	36	89	118	148	158	188	190	194	195
19	27	30	31	35	89	118	148	158	194	195
19	31	66	112	118	148	158	183	194	195	201
31	77	89	118	148	158	180	190	194	195	197
28	31	36	89	104	118	148	158	190	194	195
8	31	97	118	148	156	158	175	183	194	195
26	31	66	104	109	118	148	158	194	203	205
31	107	109	118	148	156	158	180	183	194	195
31	83	104	109	118	148	158	190	194	195	205
30	31	107	118	148	156	158	180	183	194	195
0	19	21	31	41	46	118	148	158	194	205
31	109	112	118	143	148	156	158	183	194	195
31	36	42	89	104	118	148	158	190	194	195
31	77	83	104	118	148	158	190	194	195	205
19	31	36	89	118	148	158	175	190	194	195
6	21	24	31	85	118	148	158	174	194	195
24	31	102	104	118	148	158	174	190	194	195
8	31	112	118	143	148	156	158	183	194	195
24	25	31	107	118	148	158	174	190	194	195
19	25	30	31	35	89	118	148	158	194	195
31	112	118	148	156	158	180	183	194	195	201
8	21	31	35	41	66	118	148	158	194	205
31	35	72	89	109	118	148	158	188	194	195
31	41	66	78	104	118	148	158	170	194	205
0	26	30	31	115	118	148	158	194	203	205
31	89	118	148	158	172	180	190	194	195	197
4	31	83	115	118	148	158	170	190	194	195
24	31	112	118	148	158	174	175	190	194	195
21	24	27	31	85	118	148	158	174	194	195
21	22	31	35	89	118	148	158	190	194	195
31	66	112	118	148	158	180	183	194	195	196
21	31	35	89	118	148	158	180	190	194	195
21	31	35	89	112	118	148	158	190	194	195
0	19	21	31	41	84	118	148	158	194	205
18	31	36	89	104	118	148	158	190	194	195
28	31	112	118	148	156	158	180	183	194	195
6	31	36	89	104	118	148	158	190	194	195
8	26	31	66	115	118	148	158	194	203	205
7	31	89	118	148	158	180	190	194	195	197
8	12	31	41	118	148	158	180	190	194	205
0	8	26	31	115	118	148	158	194	203	205
7	31	41	66	104	118	148	158	170	194	205
0	4	6	19	31	41	118	148	158	190	194
7	26	31	66	72	108	118	148	158	194	205
19	21	31	41	66	107	118	148	158	194	205
4	12	19	31	112	118	148	158	190	194	195
7	21	31	97	118	148	158	168	183	194	195
7	26	31	115	118	143	148	156	158	194	205
4	24	31	83	112	118	148	158	190	194	195
31	42	112	118	148	156	158	180	183	194	195
24	31	107	118	142	148	158	174	175	190	194
7	31	35	50	89	97	118	148	158	194	195
6	8	31	66	118	143	148	158	183	194	195
31	40	66	104	112	118	148	158	183	194	195
6	31	89	118	148	158	180	190	194	195	197
22	31	41	66	85	109	118	148	158	194	205
7	26	31	104	118	143	148	156	158	194	205
31	40	41	66	115	118	148	158	170	194	205
7	31	35	50	89	103	118	148	158	194	195
31	66	77	112	118	143	148	158	183	194	195
19	30	31	35	89	118	148	158	167	194	195
8	31	115	118	148	156	158	175	183	194	195
7	31	72	107	118	148	158	168	183	194	195
7	26	31	72	118	143	148	156	158	194	205
8	31	77	115	118	148	156	158	183	194	195
24	31	107	112	118	148	156	158	183	194	195
6	31	83	118	148	158	180	183	190	194	195
0	7	31	77	108	118	148	158	183	194	195
24	26	31	118	148	158	174	180	190	194	195
7	31	35	50	89	104	118	148	158	194	195
31	77	97	109	118	148	156	158	183	194	195
21	31	107	118	148	156	158	180	183	194	195
0	19	21	31	41	52	118	148	158	194	205
6	19	21	31	118	148	156	158	183	194	195
21	31	64	89	118	148	158	170	194	195	203
0	8	26	31	104	118	148	158	194	203	205
21	31	40	66	97	118	148	158	183	194	195
12	31	41	118	148	158	170	180	190	194	205
31	36	78	89	104	118	148	158	190	194	195
31	40	41	66	104	118	148	158	170	194	205
19	31	66	112	118	148	158	175	183	194	195
6	21	31	64	89	118	148	158	194	195	203
31	41	66	85	104	118	148	158	170	194	205
21	31	83	118	148	158	180	183	190	194	195
24	31	97	118	142	148	158	174	175	190	194
8	22	24	31	107	118	148	158	174	194	195
31	35	89	112	118	120	148	158	190	194	195
21	24	29	31	85	118	148	158	174	194	195
21	22	31	35	41	66	118	148	158	194	205
