29	41	102	117	118	152	167	170	174	182	195
6	29	35	41	102	117	118	170	174	182	195
29	41	93	102	112	117	118	170	174	182	195
17	29	85	97	102	117	118	156	158	170	195
29	35	41	102	117	118	127	170	174	182	195
22	29	35	41	89	102	117	118	170	182	195
29	41	89	102	117	118	170	176	181	182	195
26	29	37	102	117	118	156	170	182	183	195
29	72	102	117	118	170	174	182	185	195	197
29	41	83	102	117	118	137	170	174	182	195
24	29	41	85	102	117	118	170	174	182	195
29	41	83	89	102	117	118	167	170	182	195
29	83	97	102	117	118	170	174	182	195	197
24	29	41	68	102	117	118	170	174	182	195
29	83	102	117	118	170	174	182	183	195	197
29	72	76	102	117	118	170	174	182	185	195
24	29	41	102	117	118	170	174	182	184	195
29	85	102	117	118	170	174	175	182	185	195
29	41	102	117	118	143	170	174	181	182	195
29	31	83	102	117	118	170	174	182	183	195
29	41	97	102	117	118	143	170	174	182	195
29	41	77	89	93	102	117	118	170	182	195
29	35	40	102	117	118	156	166	170	182	195
29	85	97	102	117	118	141	147	156	170	195
29	41	102	117	118	137	143	170	174	182	195
29	41	102	103	117	118	170	174	175	182	195
29	41	89	102	117	118	129	170	182	183	195
29	41	83	97	102	117	118	170	174	182	195
8	24	29	41	102	117	118	170	174	182	195
21	29	97	102	117	118	156	170	180	182	195
18	29	30	41	89	102	117	118	170	182	195
24	29	41	102	117	118	129	170	174	182	195
29	31	72	83	102	117	118	170	174	182	195
29	41	102	109	117	118	170	174	181	182	195
29	41	96	102	117	118	137	170	174	182	195
29	83	102	117	118	152	170	174	182	195	197
29	76	83	102	117	118	170	174	182	183	195
29	41	102	117	118	167	170	174	178	182	195
18	29	85	97	102	109	117	118	156	170	195
29	41	102	117	118	156	170	174	175	182	195
24	29	41	89	102	115	117	118	170	182	195
29	35	41	102	117	118	129	170	174	182	195
12	29	35	41	102	117	118	170	174	182	195
29	30	35	41	102	117	118	170	174	182	195
29	83	102	111	117	118	170	174	182	195	197
