0	24	30	31	41	89	107	116	118	120	170	190	195
0	26	31	40	41	68	89	99	107	109	116	118	170
31	40	41	68	89	103	107	116	117	118	170	195	201
0	7	26	31	40	41	68	89	107	116	118	170	197
24	31	40	41	89	107	116	117	118	130	170	183	203
0	26	31	40	41	68	89	107	116	118	170	197	202
31	40	41	68	85	89	102	107	116	118	161	170	196
31	41	68	79	89	102	107	108	116	117	118	120	170
0	2	26	31	40	41	68	89	107	116	118	170	193
31	40	41	68	76	89	102	107	111	116	118	170	196
19	31	40	89	102	107	116	117	118	170	176	183	203
22	31	35	40	41	89	107	116	117	118	170	195	200
0	26	31	40	41	56	68	89	107	116	118	158	170
0	31	40	41	89	97	103	107	116	118	170	195	201
0	26	29	31	40	41	68	89	93	107	116	118	170
24	31	40	41	89	103	107	111	116	117	118	170	183
0	26	31	40	41	68	89	104	107	116	118	170	186
24	31	40	41	89	107	116	117	118	120	170	183	197
31	40	41	68	75	76	89	102	107	116	117	118	170
31	40	41	77	89	107	116	117	118	170	195	201	203
0	26	31	40	41	68	79	89	107	115	116	118	170
22	31	40	89	102	107	108	116	117	118	170	176	183
18	31	41	68	89	97	102	107	116	118	170	183	196
25	31	40	41	89	107	116	117	118	170	182	195	201
24	31	35	38	40	41	89	107	116	117	118	170	183
0	26	31	40	41	68	89	102	107	116	118	170	186
0	26	31	40	41	68	89	104	107	116	118	133	170
0	26	31	40	41	68	72	89	107	116	118	133	170
0	26	31	40	41	68	89	107	115	116	118	170	186
24	31	40	41	79	89	107	116	117	118	170	183	190
8	31	40	41	68	85	89	102	107	116	118	170	196
0	26	29	31	40	41	68	89	107	116	118	158	170
24	31	40	41	89	107	111	116	117	118	170	183	203
31	40	41	89	101	107	116	117	118	170	180	195	201
0	26	31	40	41	68	85	89	107	115	116	118	170
0	26	31	40	41	68	89	93	107	116	118	145	170
0	7	26	31	40	41	68	79	89	107	116	118	170
31	40	89	102	107	109	116	117	118	170	176	183	192
0	26	31	40	41	68	89	107	111	116	118	170	174
24	31	40	41	89	103	107	116	117	118	170	180	183
26	31	40	41	42	68	89	102	107	116	118	170	182
0	26	31	40	41	68	75	89	107	116	118	170	199
0	26	31	40	41	68	89	99	107	115	116	118	170
31	40	41	68	76	85	89	102	107	116	118	170	196
0	26	31	40	41	68	89	104	107	116	118	170	197
31	41	68	81	89	97	102	107	116	118	170	190	196
0	26	31	36	40	41	68	85	89	107	116	118	170
0	24	31	41	71	89	107	116	118	120	170	190	195
0	26	31	40	41	68	71	72	89	107	116	118	170
31	40	41	68	85	89	102	107	116	118	158	170	196
0	2	26	31	40	41	68	89	107	116	118	125	170
31	41	68	89	97	102	107	116	118	158	170	190	196
24	31	40	41	72	89	107	116	117	118	170	183	190
0	26	31	40	41	68	78	89	107	112	116	118	170
31	39	40	41	89	107	116	117	118	170	182	195	200
0	26	31	40	41	68	89	107	108	111	116	118	170
4	24	31	40	41	89	107	116	117	118	170	183	190
0	24	31	41	75	89	107	116	118	120	170	190	195
24	31	40	41	88	89	107	116	117	118	120	170	183
0	31	40	41	89	107	116	117	118	125	170	190	195
0	6	31	41	89	97	107	116	118	120	170	190	195
31	40	41	68	75	89	102	103	107	116	117	118	170
31	40	41	89	103	107	116	117	118	133	170	195	201
0	26	31	40	41	68	89	99	107	116	118	122	170
24	31	32	40	41	89	107	116	117	118	120	170	183
26	31	40	41	68	89	102	107	116	118	120	170	182
0	26	31	40	41	56	68	89	107	116	118	133	170
0	26	31	40	41	68	85	89	104	107	116	118	170
0	31	40	41	78	89	103	107	116	118	170	195	201
24	31	40	41	88	89	107	116	117	118	170	183	203
24	31	40	41	89	107	116	117	118	130	170	183	190
0	6	26	31	40	41	68	89	107	116	118	125	170
28	31	41	68	89	97	102	107	116	118	170	196	203
24	31	40	41	89	107	114	116	117	118	120	170	183
31	40	41	68	81	89	102	107	116	117	118	170	175
31	41	68	75	89	102	107	112	116	118	170	194	196
0	6	26	31	40	41	68	79	89	107	116	118	170
0	31	40	41	68	89	103	107	116	118	170	195	201
0	26	31	40	41	68	89	107	116	118	170	174	203
0	26	31	40	41	68	79	89	107	116	118	170	202
31	40	41	89	107	116	117	118	170	182	195	201	203
0	26	31	40	41	68	89	107	115	116	118	133	170
0	26	31	40	41	68	89	107	109	116	118	120	170
21	26	31	40	41	68	89	102	107	116	118	170	182
29	31	40	41	68	89	102	107	111	116	118	170	196
21	31	40	41	71	89	107	116	117	118	170	195	201
0	26	31	40	41	68	79	89	107	109	116	118	170
0	31	40	41	89	107	109	116	117	118	170	190	195
31	40	41	71	89	107	116	117	118	120	170	195	201
0	26	29	31	40	41	68	89	99	107	116	118	170
7	31	40	41	89	107	116	117	118	161	170	195	203
0	8	26	31	40	41	68	89	107	116	118	170	197
0	26	31	40	41	68	79	89	107	116	118	122	170
0	26	31	40	41	68	72	76	89	107	116	118	170
22	31	35	40	41	89	104	107	116	117	118	170	195
24	31	35	40	41	89	107	116	117	118	120	170	183
0	26	31	40	41	68	89	107	112	116	118	120	170
0	31	40	41	89	103	107	116	118	170	171	195	201
31	40	41	89	107	115	116	117	118	170	180	195	201
