29	31	41	61	66	85	102	117	118	129	170	174	182	195	201
29	31	41	61	66	102	116	117	118	170	174	182	195	196	201
29	31	41	66	102	117	118	129	150	159	170	174	182	183	195
29	31	41	61	66	102	117	118	120	170	174	182	195	196	201
29	31	41	59	66	85	102	117	118	152	170	174	182	195	201
29	31	41	66	102	117	118	147	164	170	174	182	184	195	196
0	29	31	41	66	102	117	118	149	159	170	174	182	183	195
29	31	41	55	66	102	117	118	150	152	170	174	182	195	201
29	31	39	41	61	66	102	117	118	170	174	182	195	196	201
29	31	41	66	102	117	118	147	158	164	170	174	182	195	196
29	31	41	66	102	117	118	126	149	159	170	174	182	183	195
29	31	41	55	66	102	117	118	150	154	170	174	182	195	201
29	31	41	59	66	85	102	117	118	154	170	174	182	195	201
25	29	31	41	59	66	102	117	118	149	170	174	182	195	201
29	31	41	66	102	117	118	129	149	159	170	174	182	183	195
29	31	41	66	97	102	117	118	143	147	164	170	174	182	195
29	31	41	59	66	97	102	117	118	145	170	174	182	195	201
29	31	41	66	102	117	118	147	154	164	170	174	182	195	196
29	31	41	66	83	102	117	118	149	159	170	174	182	183	195
29	31	41	61	66	102	115	117	118	170	174	182	195	196	201
29	31	41	59	66	85	102	117	118	158	170	174	182	195	201
22	29	31	41	59	66	102	117	118	149	170	174	182	195	201
29	31	41	66	72	102	117	118	149	159	170	174	182	183	195
29	31	41	59	66	76	85	102	117	118	170	174	182	195	201
29	31	41	61	66	69	102	117	118	170	174	182	195	196	201
29	31	41	66	102	117	118	145	147	164	170	174	182	195	196
29	31	41	66	102	103	117	118	149	159	170	174	182	183	195
19	29	31	41	61	66	102	117	118	170	174	182	195	196	201
29	31	41	61	66	102	117	118	119	170	174	182	195	197	201
6	29	31	41	66	102	117	118	147	164	170	174	182	195	196
29	31	41	59	66	85	102	117	118	170	174	182	195	201	204
22	29	31	41	59	66	85	102	117	118	170	174	182	195	201
29	31	41	66	101	102	117	118	149	159	170	174	182	183	195
29	31	41	55	66	102	117	118	149	170	174	178	182	195	201
29	31	41	59	66	102	117	118	119	170	174	182	185	195	201
29	31	39	41	55	66	102	117	118	119	170	174	182	195	201
29	31	41	59	66	102	117	118	119	145	170	174	182	195	201
29	31	41	59	66	102	117	118	119	170	174	180	182	195	201
29	31	41	59	66	97	102	117	118	154	170	174	182	195	201
29	31	41	59	66	102	117	118	119	126	170	174	182	195	201
29	31	41	55	66	102	117	118	149	170	174	182	185	195	201
29	31	41	59	66	102	117	118	119	170	174	178	182	195	201
29	31	41	66	102	117	118	139	149	170	174	180	182	195	201
29	31	41	66	102	117	118	147	164	170	174	182	195	196	204
29	31	41	55	66	102	117	118	149	158	170	174	182	195	201
29	31	41	60	66	85	102	117	118	143	170	174	182	195	201
17	29	31	41	60	66	85	102	117	118	170	174	182	195	201
29	31	41	55	66	102	117	118	119	170	174	182	195	197	201
29	31	41	66	102	117	118	149	159	170	174	182	183	184	195
29	31	41	66	102	116	117	118	139	149	170	174	182	195	201
29	31	41	59	66	97	102	117	118	158	170	174	182	195	201
29	31	41	59	66	89	102	117	118	149	170	174	182	195	201
29	31	41	66	102	115	117	118	149	159	170	174	182	183	195
29	31	41	59	66	97	102	115	117	118	170	174	182	195	201
29	31	41	59	66	97	102	117	118	170	174	182	184	195	201
29	31	41	55	66	102	117	118	119	170	174	182	193	195	201
29	31	41	66	102	112	117	118	149	159	170	174	182	183	195
29	31	41	55	66	102	117	118	150	158	170	174	182	195	201
12	29	31	41	59	66	97	102	117	118	170	174	182	195	201
29	31	41	66	102	117	118	147	152	164	170	174	182	195	196
8	29	31	41	66	102	117	118	147	164	170	174	182	195	196
29	31	41	66	102	104	117	118	149	159	170	174	182	183	195
29	31	41	59	66	85	102	117	118	170	174	182	195	197	201
29	31	41	59	66	97	102	117	118	120	170	174	182	195	201
29	31	41	61	66	76	85	102	117	118	170	174	182	195	201
17	29	31	41	55	66	102	117	118	119	170	174	182	195	201
29	31	41	59	66	69	102	117	118	149	170	174	182	195	201
29	31	41	55	66	102	117	118	145	149	170	174	182	195	201
29	31	41	66	89	97	102	117	118	147	164	170	174	182	195
29	31	41	66	102	117	118	139	143	149	170	174	182	195	201
12	29	31	41	59	66	102	117	118	119	170	174	182	195	201
29	31	41	66	102	117	118	126	150	159	170	174	182	183	195
29	31	41	66	69	97	102	117	118	147	164	170	174	182	195
29	31	41	59	66	97	102	117	118	152	170	174	182	195	201
29	31	41	55	66	102	117	118	119	170	174	182	185	195	201
25	29	31	41	66	102	117	118	150	159	170	174	182	183	195
17	29	31	41	61	66	85	102	117	118	170	174	182	195	201
29	31	41	66	97	102	117	118	147	164	170	174	178	182	195
29	31	41	55	66	102	117	118	119	170	174	180	182	195	201
29	31	41	55	66	102	117	118	149	170	174	182	195	197	201
29	31	39	41	66	97	102	117	118	147	164	170	174	182	195
29	31	41	60	66	85	102	117	118	170	174	180	182	195	201
29	31	39	41	59	66	102	117	118	149	170	174	182	195	201
29	31	41	66	102	117	118	150	159	170	174	182	183	184	195
29	31	39	41	61	66	85	102	117	118	170	174	182	195	201
29	31	41	60	66	85	102	117	118	170	174	182	185	195	201
29	31	41	55	66	102	117	118	119	170	174	178	182	195	201
29	31	41	66	102	117	118	150	154	159	170	174	182	183	195
17	29	31	41	66	97	102	117	118	147	164	170	174	182	195
29	31	41	66	97	102	117	118	147	164	170	174	182	185	195
17	29	31	41	59	66	102	117	118	149	170	174	182	195	201
29	31	41	55	66	102	117	118	149	152	170	174	182	195	201
12	29	31	41	66	102	117	118	147	164	170	174	182	195	196
29	31	41	61	66	102	117	118	145	170	174	182	195	196	201
