Neuron,seq0,reporter0,seq1,reporter1,seq2,reporter2,seq3,reporter3,seq4,reporter4,seq5,reporter5,seq6,reporter6,seq7,reporter7,seq8,reporter8,seq9,reporter9,seq10,reporter10,seq11,reporter11,seq12,reporter12,seq13,reporter13,seq14,reporter14,seq15,reporter15,seq16,reporter16,seq17,reporter17,seq18,reporter18,seq19,reporter19,seq20,reporter20,seq21,reporter21,seq22,reporter22,seq23,reporter23,seq24,reporter24,seq25,reporter25,seq26,reporter26,seq27,reporter27,seq28,reporter28,seq29,reporter29,seq30,reporter30,seq31,reporter31,seq32,reporter32
AFD,384.557105251889,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,134.479453612699,0,170.053142344612,1,0.0,0,72.94194,1,190.783195745358,0,0.0,0,256.119649271394,1,0.0,0,0.0,0,39.93305713178,1,0.0,0,0.0,1,238.975816761741,1,153.223069396313,0,152.17492528905,1,31.8312105630321,1,0.0,0,41.3108654760273,0,11.6050008455287,1,24.7366480390074,0,0.0,0,0.0,0,0.0,0,0.0,0,27.5847655194678,0,1930.6676535254,0,0.0,0
AUA,449.311940060837,1,0.0,1,0.0,0,0.0,0,0.0,0,23.6486906206249,0,203.973999421528,0,37.3387428237756,0,124.220126102999,1,18.90066,0,118.701851378537,1,0.0,1,158.922079707929,1,29.2450460146692,0,0.0,0,102.646660861239,0,23.7209049245309,0,61.23972,0,128.710119132208,0,293.613196325761,0,205.238329260669,0,0.0,0,0.0,0,57.5809049956548,0,0.0,0,0.0,0,85.459686436276,1,15.07763,1,26.2943446154552,1,0.0,0,208.723172851033,0,107.136359221433,0,28.61902,1
AIM,332.317335617235,1,252.952788518434,0,38054.9808311244,1,47.72689,0,46.70215,1,0.0,0,155.359299163116,0,22.3583829502693,0,165.919136533092,0,0.0,0,0.0,0,13.2936884002793,0,75.9920323316232,1,709.754775256706,0,407.815167128996,1,56.7972615018805,0,0.0,0,7.408278,0,23.8071672416927,0,173.957886705341,0,116.901810900327,0,0.0,0,18.48832,0,342.683896074896,0,0.0,0,0.0,0,39.7285435020075,0,10.19427,0,47.4108072352691,1,0.0,0,763.24788142502,0,34.1857486783026,0,0.0,0
AIY,114.478959591979,1,109.693268640827,1,93251.3806607271,0,35.17172,0,5.875567,1,0.0,0,182.261529130412,0,26.8177168849444,0,0.0,0,0.0,1,0.0,0,47.6400588088065,0,81.9240610770168,1,55.1590305288433,0,137.03713631671,0,63.1363217806733,1,14.0201066410033,0,0.0,0,45.3275349336221,0,116.593933785875,0,69.9534439518162,0,639.824882521745,0,1.672467,0,81.5753970596541,0,0.0,0,0.0,0,14.6394716909953,1,0.0,0,0.0,1,0.0,0,74.8077147510401,0,182.969735380364,0,36.93759,0
AVK,180.748112681595,1,5.86425003603415,0,14264.2532152005,0,0.0,0,2.787814,1,41.3066934124406,1,53.8046686889347,0,11.2380693789774,0,0.0,0,18.58957,1,0.0,0,0.0,0,50.5990423031303,1,0.0,0,0.0,0,43.7331610257103,0,0.0,0,0.0,0,0.0,0,238.350284373245,0,95.8282046388664,0,0.0,0,0.0,0,108.689260607144,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,22.9202255211915,0,76.6035545852085,0,0.0,0
RIM,335.313812391333,1,0.0,0,0.0,0,47.11374,1,0.0,0,37.7298800710726,0,167.582414537257,0,32.7370459522413,0,112.201748745438,0,23.5236,0,48.1294855146738,1,14.8057542949343,0,925.453168938275,0,179.684607252404,0,0.0,0,101.00930052104,0,17.2515856147964,1,0.0,0,51.1716469645296,0,218.109114587422,1,156.084214945725,0,0.0,0,18.99506,0,0.0,1,0.0,0,0.0,0,82.7098236271226,0,0.0,0,31.9396511523032,1,0.0,0,354.35339086485,0,2221.73626327549,0,146.2095,1
AVE,269.358675908645,1,139.280529453173,1,0.0,0,126.6354,0,35.57894,0,73.9953454913948,0,253.757426373031,0,13.1353649881372,0,222.601762973163,0,0.0,0,0.0,0,57.4291827623169,0,337.856818301406,0,0.0,0,0.0,0,62.2222264796329,0,11.479320910126,0,0.0,0,63.8884891148644,0,254.555719070637,0,126.048832916421,0,0.0,0,3.236543,0,80.1984018758828,1,0.0,0,0.0,0,131.889209434608,0,23.90448,1,92.9077533595737,1,0.0,0,84.9775535612499,0,709.413195784611,0,44.21463,1
RIS,20.8914449253927,1,26.4902102670813,0,0.0,0,0.0,1,0.0,0,0.0,0,200.827175894334,0,9.06746098435048,0,0.0,0,14.98155,0,0.0,0,0.0,0,83.7636015953277,0,274.368044965437,0,0.0,0,20.5154856419692,0,11.3501703570452,0,0.0,0,20.3116684996635,0,102.295780397593,0,23.3436236065863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,26.93923,0,12.5753393816866,1,0.0,0,76.9498993965047,0,233.154850575608,0,0.0,0
RIB,232.654286406025,1,18.6255247951734,0,98336.9988914508,0,0.0,0,0.0,0,141.372301477464,0,163.403450547299,1,0.0,0,0.0,0,36.52251,0,0.0,0,66.1354769486184,0,383.946394942448,0,0.0,0,0.0,0,129.889290863078,0,0.0,0,0.0,0,71.1058219431438,0,265.522662056634,0,94.9844195929821,0,786.919558260276,0,0.4373082,0,0.0,0,0.0,0,0.0,0,68.4575776077507,1,0.0,0,68.7253164015017,0,0.0,0,558.314790418149,0,0.0,0,172.1837,1
AWA,213.352185892752,1,6.87442864950515,0,840.258837150773,0,0.0,0,0.0,0,7.89513825643304,0,42.3985970965916,0,13.3213535531059,1,12.8582666305492,0,58.30858,1,48.6765686800114,0,12.6048136453957,1,70.9184545400515,1,0.0,0,135.5759269478,1,25.8011422716728,1,25.8801739176868,0,0.0,0,290.686520921429,1,167.384404820878,0,132.988578019451,0,287.849222636877,1,0.3040993,0,0.0,0,0.0,1,36.4135748610215,0,19.5780794697919,0,0.0,0,0.0,0,0.0,0,7.78874439080298,0,0.0,0,0.0,0
